solo_KillDeathRatio,solo_WinRatio,solo_Rating,solo_DamagePg,solo_HealsPg,solo_KillsPg,solo_MoveDistancePg,solo_TimeSurvivedPg
3.38,11.11,1684.4,323.5,1.67,3.0,3076.59,953.62
3.41,12.0,2013.66,343.86,1.88,3.0,3870.91,1234.55
1.38,4.55,1447.32,155.08,0.5,1.32,2794.16,912.73
3.94,12.71,2388.88,373.33,1.32,3.44,2988.29,1038.63
2.29,14.33,2909.92,227.63,1.19,1.96,5240.53,1408.73
3.37,17.33,2952.0,316.32,1.62,2.78,4552.41,1361.27
6.0,27.27,1754.57,467.94,0.55,4.36,4253.87,1421.75
3.05,9.84,2624.78,328.47,1.55,2.75,4439.33,1262.48
0.0,0.0,1201.09,0.0,0.0,0.0,4653.69,561.04
3.1,16.67,1676.56,276.31,1.17,2.58,4734.88,1462.74
5.0,0.0,1252.66,619.2,1.0,5.0,4748.67,1663.45
2.0,5.0,1472.15,221.8,0.85,1.9,1298.88,570.89
8.09,35.29,2427.82,558.76,1.09,5.24,4012.94,1067.84
3.96,9.73,2434.94,416.21,1.42,3.58,3817.81,918.38
3.48,7.14,2286.61,362.29,1.7,3.23,3723.04,894.78
3.24,0.0,1807.6,349.21,1.91,3.24,2593.54,819.41
1.26,1.34,2431.51,150.92,1.32,1.24,1875.04,805.13
2.9,0.0,1533.8,305.04,2.5,2.9,4598.75,1334.45
7.0,33.33,1627.49,485.4,1.67,4.67,8702.15,1572.74
5.5,28.57,1617.61,396.07,2.29,3.93,3453.18,1082.98
2.12,9.26,2391.71,225.24,1.31,1.93,3730.79,1063.79
2.53,16.67,1736.24,258.5,0.56,2.11,5504.24,1220.53
4.83,0.0,1392.62,478.54,3.17,4.83,4008.34,773.22
3.69,12.43,2505.64,363.68,1.85,3.23,3809.21,1053.73
1.78,2.41,2053.8,181.78,1.57,1.73,1788.2,790.59
1.83,4.55,2399.81,218.79,1.93,1.75,3913.85,945.62
7.0,50.0,1356.8,388.91,0.0,3.5,3970.45,1024.13
3.06,15.0,1701.89,282.59,2.25,2.6,2564.39,952.33
5.05,25.0,2422.07,432.78,0.93,3.79,6713.2,1422.75
3.29,12.82,1790.0,321.67,1.82,2.87,4350.17,1156.45
2.89,10.0,2525.9,281.3,1.32,2.6,3470.92,1047.24
3.56,28.0,2319.17,296.35,1.52,2.56,7306.27,1542.93
2.78,6.7,2733.77,309.14,1.78,2.6,4118.8,1163.68
4.32,8.63,2528.12,435.07,1.46,3.95,2228.05,918.6
3.5,0.0,1419.82,402.73,2.5,3.5,6786.22,1685.41
3.19,20.0,1775.64,300.99,1.6,2.55,2718.18,1264.99
1.94,8.75,2829.1,209.82,1.81,1.77,6071.98,1251.41
1.96,1.85,2289.15,230.89,1.34,1.93,2640.48,907.71
2.9,0.0,1618.62,328.8,1.65,2.9,3828.38,1018.91
3.01,11.54,2867.88,324.66,2.02,2.66,3824.14,1114.98
1.64,3.81,2126.05,189.54,1.46,1.58,3423.6,1031.92
2.37,6.32,2461.81,253.41,1.85,2.22,5103.76,1274.34
5.67,40.0,1482.62,337.76,0.2,3.4,2770.39,1184.77
2.56,18.5,2855.72,239.59,6.74,2.09,9081.67,1532.07
2.88,27.27,1698.09,236.06,1.45,2.09,5199.56,1244.8
3.42,11.63,2349.26,340.38,1.3,3.02,2928.81,994.54
17.0,100.0,1481.86,1028.75,1.5,8.5,5062.08,1886.96
