duo_KillDeathRatio,duo_WinRatio,duo_Wins,duo_Rating,duo_DamagePg,duo_HealsPg,duo_KillsPg,duo_MoveDistancePg,duo_RevivesPg,duo_TimeSurvivedPg,duo_RoundMostKills,duo_WinPoints
4.33,33.33,3,1863.78,350.65,3.33,2.89,6284.38,0.22,1519.59,10,2637
2.6,15.29,13,2551.36,290.76,3.64,2.2,6126.4,0.2,1372.42,8,2124
10.0,50.0,1,1347.64,533.46,0.0,5.0,3385.16,0.0,1386.09,9,1121
3.31,11.82,13,2148.3,342.54,2.07,2.92,2754.63,0.22,888.25,15,3971
2.19,3.28,4,2264.78,259.85,1.48,2.11,3524.57,0.14,1003.75,9,1886
4.31,23.81,10,1995.78,423.04,3.5,3.29,6072.18,0.19,1371.09,10,2874
2.41,5.81,5,2058.01,276.76,1.95,2.27,2833.51,0.21,1013.55,11,1684
3.85,17.5,7,1846.83,378.44,1.23,3.18,2501.0,0.25,786.72,11,2477
2.52,4.55,2,2199.79,298.7,2.0,2.41,3922.32,0.05,1179.47,10,2831
4.58,23.71,23,2176.85,408.18,2.93,3.49,4650.26,0.34,1311.29,19,4502
3.92,25.0,4,1913.57,314.1,2.19,2.94,5485.81,0.19,1618.99,9,1599
2.37,5.31,6,2007.02,294.04,1.44,2.25,3148.21,0.14,993.19,10,2995
1.61,5.73,11,2434.33,205.91,1.64,1.52,5939.08,0.14,1188.6,12,2011
2.09,8.78,13,2434.88,235.03,1.84,1.91,3376.41,0.21,927.6,10,2027
4.25,33.33,4,1716.99,325.49,0.75,2.83,5009.56,0.17,1331.74,10,1443
6.0,42.86,3,1786.69,517.06,1.71,3.43,3406.58,0.14,1281.11,9,1499
3.54,18.75,3,1447.62,314.93,2.25,2.88,3592.45,0.19,1029.24,18,3396
2.14,16.0,4,2008.05,237.61,1.76,1.8,5999.56,0.2,1255.23,6,2682
1.67,7.91,14,2461.66,207.98,1.87,1.54,5461.93,0.21,1302.2,8,3068
2.25,10.34,6,2049.17,276.1,1.09,2.02,3063.74,0.26,969.99,10,1690
1.33,0.0,0,1455.1,238.03,1.67,1.33,4165.8,0.22,1236.75,5,1212
