,tracker_id,solo_WinRatio,solo_Wins,solo_KillDeathRatio,solo_Rating,solo_KillsPg,solo_DamagePg,solo_HealsPg
93,23614,0.0,47,2.29,2909.92,1.96,227.63,1.19
94,11690,1.0,74,3.37,2952.0,2.78,316.32,1.62
95,6042,1.0,3,6.0,1754.57,4.36,467.94,0.55
96,22188,0.0,19,3.05,2624.78,2.75,328.47,1.55
97,2260,0.0,0,0.0,1201.09,0.0,0.0,0.0
98,9346,1.0,2,3.1,1676.56,2.58,276.31,1.17
99,7857,0.0,0,5.0,1252.66,5.0,619.2,1.0
100,196309,0.0,2,2.0,1472.15,1.9,221.8,0.85
101,142404,1.0,12,8.09,2427.82,5.24,558.76,1.09
102,14352,0.0,36,3.96,2434.94,3.58,416.21,1.42
103,64263,0.0,4,3.48,2286.61,3.23,362.29,1.7
104,4040,0.0,0,3.24,1807.6,3.24,349.21,1.91
105,33415,0.0,3,1.26,2431.51,1.24,150.92,1.32
106,13504,0.0,0,2.9,1533.8,2.9,305.04,2.5
107,176657,1.0,2,7.0,1627.49,4.67,485.4,1.67
108,143358,1.0,4,5.5,1617.61,3.93,396.07,2.29
109,18504,0.0,5,2.12,2391.71,1.93,225.24,1.31
110,8092,1.0,3,2.53,1736.24,2.11,258.5,0.56
111,2627,0.0,0,4.83,1392.62,4.83,478.54,3.17
112,76622,0.0,21,3.69,2505.64,3.23,363.68,1.85
113,196304,0.0,2,1.78,2053.8,1.73,181.78,1.57
114,23567,0.0,7,1.83,2399.81,1.75,218.79,1.93
115,6661,1.0,1,7.0,1356.8,3.5,388.91,0.0
116,12919,0.0,3,3.06,1701.89,2.6,282.59,2.25
117,8772,1.0,7,5.05,2422.07,3.79,432.78,0.93
118,156994,0.0,5,3.29,1790.0,2.87,321.67,1.82
119,142397,0.0,5,2.89,2525.9,2.6,281.3,1.32
120,6929,1.0,7,3.56,2319.17,2.56,296.35,1.52
121,15776,0.0,31,2.78,2733.77,2.6,309.14,1.78
122,157609,0.0,27,4.32,2528.12,3.95,435.07,1.46
123,108162,0.0,0,3.5,1419.82,3.5,402.73,2.5
124,21987,1.0,4,3.19,1775.64,2.55,300.99,1.6
125,21579,0.0,37,1.94,2829.1,1.77,209.82,1.81
126,44680,0.0,2,1.96,2289.15,1.93,230.89,1.34
127,24383,0.0,0,2.9,1618.62,2.9,328.8,1.65
128,71471,0.0,45,3.01,2867.88,2.66,324.66,2.02
129,7706,0.0,4,1.64,2126.05,1.58,189.54,1.46
130,34667,0.0,6,2.37,2461.81,2.22,253.41,1.85
131,6271,1.0,2,5.67,1482.62,3.4,337.76,0.2
132,9598,1.0,37,2.56,2855.72,2.09,239.59,6.74
133,8659,1.0,3,2.88,1698.09,2.09,236.06,1.45
134,7299,0.0,5,3.42,2349.26,3.02,340.38,1.3
135,44335,1.0,2,17.0,1481.86,8.5,1028.75,1.5
136,7093,0.0,3,2.87,2141.35,2.77,315.7,1.08
137,9344,0.0,2,2.26,2032.24,2.12,270.94,1.45
138,11990,0.0,4,2.12,2137.06,1.93,225.13,1.0
139,14074,0.0,2,3.61,1602.24,3.25,341.46,1.2
140,16495,0.0,3,3.42,1963.07,2.95,330.03,1.14
141,142406,0.0,5,2.33,2417.38,2.14,254.5,2.44
142,12503,0.0,5,2.54,2341.32,2.3,272.26,2.66
143,52504,1.0,15,3.61,2472.3,2.69,325.29,0.8
144,63812,0.0,1,1.68,2213.09,1.65,197.0,2.72
145,9087,0.0,20,2.35,2813.79,2.06,246.89,1.33
146,39,1.0,74,5.33,2838.04,3.83,396.46,1.22
147,178989,0.0,2,0.88,1466.34,0.87,108.81,0.58
148,196312,0.0,3,2.31,2335.44,2.24,264.7,1.31
149,18631,0.0,1,2.23,1496.84,2.07,230.86,0.57
150,52215,1.0,23,4.49,2848.59,3.56,411.48,1.86
151,64014,0.0,32,2.83,2862.97,2.49,297.38,2.01
