solo_Wins,solo_DamagePg,solo_HealsPg,solo_KillsPg,solo_WinRatio
2,293.43,0.83,2.78,11.11
5,383.79,1.36,3.55,11.9
37,291.72,2.04,2.6,23.27
26,296.31,1.77,2.58,11.26
3,271.86,1.32,2.5,7.5
2,244.4,1.25,2.1,5.0
4,348.32,2.0,2.96,16.0
27,409.73,2.17,3.61,12.92
7,224.7,1.71,1.79,4.79
6,289.09,1.8,2.47,12.24
4,344.31,1.31,3.26,6.15
9,645.57,1.81,5.9,29.03
3,260.18,1.23,2.19,6.25
1,417.66,1.33,4.33,33.33
1,235.12,3.22,2.22,2.5
5,271.46,0.78,2.47,11.11
1,507.52,0.0,5.0,50.0
14,270.74,1.96,2.29,18.18
7,374.65,1.16,3.22,9.21
40,419.64,1.72,3.67,18.35
25,197.18,1.66,1.7,5.91
6,246.97,2.62,2.14,6.19
6,165.77,1.32,1.27,2.14
3,281.0,1.28,2.48,10.34
8,296.08,1.41,2.5,10.53
7,220.61,2.85,2.0,17.07
10,311.41,1.81,2.59,11.76
57,248.6,1.96,2.16,7.73
3,183.33,1.33,1.44,4.76
1,326.05,1.0,3.2,10.0
5,203.16,1.63,1.72,7.04
2,228.24,1.81,1.91,2.33
4,381.89,1.33,3.26,6.9
4,178.64,1.83,1.27,7.69
7,488.25,1.74,4.41,25.93
3,382.34,1.48,3.38,10.34
5,248.22,1.98,2.13,2.12
16,208.13,1.21,1.75,9.25
1,286.21,1.68,2.59,4.55
3,253.23,1.76,2.16,3.33
5,246.79,1.3,2.12,8.77
3,207.51,1.84,1.71,2.7
6,648.63,0.67,6.5,100.0
1,381.64,2.0,3.2,20.0
6,366.55,1.48,3.24,13.04
6,124.32,1.19,1.05,2.62
3,220.86,1.46,1.69,5.77
8,350.5,1.61,3.09,9.41
8,708.5,2.69,6.19,50.0
4,356.95,2.14,3.29,28.57
3,138.9,1.55,1.05,5.17
69,340.72,3.92,2.76,11.09
4,223.15,1.41,1.9,6.35
2,250.65,1.23,2.0,6.67
16,209.35,2.93,1.71,4.1
2,303.51,1.5,2.9,10.0
2,245.77,0.79,2.34,6.9
5,204.56,1.27,1.76,7.94
19,265.81,1.78,2.12,11.18
3,180.67,4.07,1.55,10.34
5,361.47,2.64,3.31,7.14
5,139.81,1.61,1.09,1.12
15,394.85,1.52,3.5,9.93
0,204.36,1.08,1.92,0.0
1,283.84,2.62,2.62,3.45
12,145.09,3.55,1.27,3.87
2,276.32,2.97,2.31,6.9
10,304.34,1.57,2.41,27.03
7,536.55,1.23,4.9,22.58
0,32.35,0.0,0.0,0.0
7,183.79,1.34,1.57,3.65
3,197.93,1.09,1.64,2.0
0,312.79,0.67,3.0,0.0
2,204.33,1.79,1.62,5.88
3,213.52,1.44,1.83,5.08
0,322.43,3.0,2.4,0.0
1,454.09,0.8,4.0,20.0
4,217.59,3.26,1.98,9.3
11,175.83,2.07,1.46,5.26
2,369.62,1.73,3.37,6.67
5,298.78,1.3,2.6,12.5
1,232.96,1.73,2.09,4.55
30,348.42,1.68,3.19,15.96
14,344.08,1.93,2.99,11.67
1,424.98,2.2,3.4,10.0
22,221.09,1.54,1.77,10.38
0,199.2,1.47,1.79,0.0
1,357.44,1.29,3.17,4.17
11,275.28,2.94,2.36,7.01
17,322.45,0.92,2.73,5.61
0,367.61,0.0,2.0,0.0
1,334.71,1.5,3.0,50.0
19,153.44,1.57,1.32,14.96
0,221.9,2.38,1.85,0.0
4,500.03,1.77,4.69,30.77
20,226.81,1.41,1.87,6.02
1,224.17,1.59,2.15,1.41
0,281.3,1.68,2.68,0.0
23,312.61,6.84,2.8,22.77
18,326.02,2.63,2.82,7.32
8,150.28,1.46,1.24,5.93
5,242.43,1.77,2.17,7.69
1,596.91,3.0,6.0,33.33
15,292.58,1.57,2.67,13.04
7,270.68,1.65,2.35,16.28
4,352.86,2.7,3.08,6.35
37,186.03,5.53,1.5,9.34
18,222.53,1.26,1.87,6.77
13,207.69,1.58,1.64,3.26
0,264.59,1.44,2.0,0.0
5,308.04,1.21,2.67,8.2
3,196.16,0.9,1.7,3.57
37,397.86,3.05,3.35,29.13
4,227.32,1.67,1.82,8.16
23,425.55,1.81,3.74,7.8
2,483.0,1.43,4.74,8.7
3,257.83,1.21,2.29,10.71
0,332.38,3.0,2.67,0.0
8,560.47,1.37,5.29,21.05
4,263.77,1.99,2.23,5.06
16,136.25,1.84,1.12,5.23
2,169.62,1.11,1.42,2.2
1,434.14,3.0,4.0,100.0
2,162.28,1.41,1.48,3.57
0,167.38,0.0,1.0,0.0
2,288.83,1.24,2.68,2.7
1,222.79,2.43,1.89,3.57
3,322.18,2.0,2.91,13.04
4,374.05,4.52,3.62,19.05
0,364.54,0.67,3.0,0.0
1,235.81,1.19,2.03,2.78
5,174.52,1.28,1.52,6.33
55,214.76,12.15,1.77,10.54
32,214.57,1.8,1.69,6.77
9,588.52,0.77,5.21,16.98
2,191.55,1.07,1.57,7.14
3,458.31,2.05,4.35,15.0
0,141.07,0.71,1.07,0.0
30,253.65,1.58,2.24,11.28
17,205.48,2.45,1.78,9.88
1,242.17,1.63,2.17,1.05
5,283.47,1.26,2.39,3.76
14,359.32,1.94,2.91,12.84
22,225.58,1.45,1.86,6.98
2,289.24,2.33,2.83,33.33
13,448.43,2.05,3.86,20.63
21,130.99,2.45,1.05,5.51
10,249.2,1.54,2.3,18.52
31,354.28,3.67,3.05,11.07
31,278.3,1.34,2.43,8.27
16,150.38,1.64,1.2,4.0
1,855.52,0.5,8.0,50.0
1,173.67,1.35,1.57,1.45
1,494.27,0.0,4.5,50.0
1,217.19,1.84,1.76,1.49
1,250.74,0.83,1.83,16.67
4,246.52,1.01,2.2,5.8
1,315.06,1.29,2.84,3.23
4,301.9,1.95,2.9,19.05
12,202.88,1.73,1.56,7.32
36,333.89,1.3,2.73,9.23
12,387.09,3.23,3.6,16.44
0,0.0,0.0,0.0,0.0
1,276.32,0.5,2.33,16.67
0,89.09,0.0,1.0,0.0
52,249.04,5.71,2.26,20.88
2,374.21,0.82,3.32,9.09
9,174.09,1.04,1.4,5.52
7,277.44,1.55,2.41,6.31
1,402.87,1.0,3.88,12.5
8,346.48,1.13,3.09,6.9
4,187.12,1.12,1.66,2.2
0,112.2,0.95,0.97,0.0
12,288.9,1.89,2.28,8.33
1,312.6,1.14,2.86,7.14
2,222.42,1.57,1.86,2.9
5,269.24,1.25,2.13,8.33
0,0.0,0.0,0.0,0.0
13,145.59,1.56,1.15,2.08
1,249.34,0.4,2.2,20.0
6,216.04,1.22,1.86,9.52
35,323.18,4.68,2.77,16.67
10,513.46,2.07,4.87,14.93
3,230.17,1.61,1.87,3.57
1,385.18,1.29,3.43,14.29
33,324.81,1.62,2.66,16.58
21,365.62,2.27,3.22,26.58
44,465.16,1.76,4.12,17.89
4,252.63,1.27,2.18,12.12
25,243.78,1.08,2.19,17.36
26,213.84,2.38,1.77,7.62
17,291.38,2.12,2.55,7.08
2,259.85,3.24,2.52,8.0
0,459.32,0.5,4.5,0.0
1,415.89,2.17,4.08,8.33
11,443.0,4.89,4.18,19.3
2,374.28,2.56,3.78,22.22
5,308.56,2.33,2.69,12.82
2,273.44,1.09,2.44,6.25
4,182.42,1.47,1.47,4.82
3,237.8,1.06,2.02,3.57
19,142.43,5.0,1.15,5.69
10,203.73,1.57,1.61,5.78
7,109.26,1.71,0.89,3.08
1,546.69,2.14,5.29,14.29
2,140.45,1.5,1.22,11.11
5,444.21,1.09,3.86,22.73
6,331.43,1.36,2.93,21.43
17,214.86,1.27,1.92,11.89
0,137.98,1.0,1.18,0.0
19,147.34,2.85,1.27,7.63
15,277.58,1.97,2.2,9.38
17,486.39,0.88,4.48,28.33
4,195.6,1.88,1.67,3.17
44,235.11,10.01,2.17,14.52
5,326.58,1.71,3.1,8.47
5,298.18,1.61,2.3,10.87
2,498.16,1.2,4.8,40.0
60,314.93,10.37,2.58,20.2
0,307.88,1.83,2.65,0.0
1,148.01,2.7,1.4,5.0
9,144.14,1.69,1.11,5.56
2,299.07,1.1,2.71,2.13
3,230.98,1.14,1.87,2.78
5,259.6,1.76,2.13,4.59
22,178.29,2.37,1.34,9.36
16,236.08,1.12,1.94,8.6
1,93.8,0.67,0.75,0.65
0,447.39,2.67,3.67,0.0
1,389.08,0.33,3.33,33.33
0,130.05,0.0,1.0,0.0
63,326.15,2.56,2.76,15.59
3,738.55,1.92,7.25,25.0
2,225.72,0.58,2.11,10.53
4,282.16,1.4,2.6,16.0
4,178.91,1.49,1.29,4.44
4,230.24,1.61,2.02,3.42
1,211.33,1.22,1.8,1.16
5,253.26,2.83,2.25,6.94
36,318.95,1.77,2.64,18.37
4,181.07,1.6,1.52,4.04
0,98.24,0.55,0.73,0.0
2,441.2,2.5,4.5,50.0
5,242.68,1.38,2.1,3.12
3,515.74,1.81,4.56,18.75
2,229.12,1.12,2.12,2.17
0,156.15,0.85,1.31,0.0
0,487.11,1.2,4.2,0.0
10,538.74,1.21,4.83,41.67
6,245.84,1.15,2.05,5.45
6,286.56,1.38,2.25,8.82
0,178.54,0.6,1.8,0.0
9,253.65,1.45,1.95,10.59
7,479.1,3.65,4.49,16.28
14,411.05,1.96,3.77,6.73
82,358.48,3.08,3.27,14.49
1,205.79,1.51,1.67,1.39
14,223.45,2.76,1.89,9.21
0,184.14,1.17,1.59,0.0
0,938.0,3.0,9.0,0.0
12,139.32,2.7,1.11,4.71
20,236.98,2.11,1.94,8.1
2,124.05,1.28,1.05,1.94
2,222.33,0.64,2.18,18.18
5,233.75,1.06,2.06,15.62
2,307.19,1.32,3.21,10.53
1,370.34,2.28,3.17,5.56
37,380.43,2.39,3.15,22.98
16,189.4,1.37,1.51,5.19
9,218.21,1.33,1.8,10.0
3,313.22,1.41,2.63,3.09
1,387.38,1.56,3.33,11.11
6,198.84,1.47,1.82,10.0
10,89.49,1.6,0.67,1.57
1,256.89,1.0,2.67,16.67
3,140.55,1.74,1.3,4.55
5,144.57,1.28,1.22,3.27
1,251.0,0.8,2.12,2.04
64,207.2,1.89,1.74,15.8
1,232.05,1.45,2.18,9.09
0,461.92,2.0,5.0,0.0
1,247.29,2.04,2.04,3.85
1,528.7,2.0,4.5,50.0
1,223.28,1.81,1.86,4.76
12,176.84,1.65,1.42,12.12
1,260.19,1.19,2.19,3.85
15,315.65,1.4,2.68,8.43
0,292.73,1.29,2.86,0.0
2,243.15,1.8,2.2,4.44
1,475.68,1.36,4.36,7.14
3,207.54,1.43,1.76,14.29
7,229.87,2.15,1.93,2.4
10,282.8,0.94,2.51,8.4
1,458.0,1.5,4.5,50.0
3,280.8,1.41,2.57,6.82
2,179.67,1.26,1.53,2.78
2,565.55,1.25,5.67,16.67
48,360.05,1.47,3.21,7.11
3,296.93,3.25,2.5,25.0
13,286.23,1.32,2.3,11.4
1,499.26,2.33,5.33,33.33
0,60.23,0.2,0.6,0.0
6,241.6,1.18,2.07,4.17
8,326.49,1.06,3.09,15.09
5,318.74,2.11,2.93,18.52
2,328.09,1.34,2.69,5.71
4,210.73,1.63,1.73,9.76
3,236.71,2.27,2.16,5.88
1,270.58,1.33,2.27,6.67
2,318.77,1.59,3.04,7.41
1,308.36,2.28,2.97,3.45
6,321.8,1.43,2.72,7.59
2,461.08,1.91,5.0,18.18
2,463.27,1.71,4.05,9.52
0,224.02,1.38,2.25,0.0
2,365.8,2.0,3.42,8.33
4,278.91,1.37,2.49,5.88
1,233.96,0.75,1.88,12.5
1,130.12,0.89,1.05,0.67
6,424.92,2.56,3.87,15.38
1,239.61,0.97,2.0,3.33
0,119.68,1.59,0.9,0.0
6,429.35,1.61,3.76,15.79
1,564.9,1.0,5.0,100.0
3,391.89,2.56,3.88,18.75
4,167.84,1.48,1.51,5.8
10,361.59,1.83,3.34,28.57
12,506.75,2.26,4.38,28.57
17,158.72,2.11,1.31,2.86
13,303.96,3.38,2.48,13.4
30,169.58,1.47,1.43,5.39
0,371.3,0.33,4.0,0.0
57,301.19,1.78,2.67,17.38
1,220.75,1.0,1.9,4.76
53,351.12,2.85,2.85,13.32
3,413.38,1.0,4.18,27.27
2,192.49,0.88,1.88,8.33
0,625.24,1.0,6.0,0.0
2,225.59,0.74,2.15,5.88
4,293.16,1.07,2.41,14.81
3,227.5,0.68,1.86,10.71
26,269.36,2.49,2.24,11.98
3,269.94,1.1,2.25,6.25
5,323.21,1.95,2.78,9.09
10,276.16,1.3,2.59,11.36
2,189.33,0.88,1.36,1.22
4,356.95,1.83,2.93,13.79
6,200.4,1.32,1.59,3.92
44,437.17,2.2,4.06,18.64
3,318.63,1.27,3.13,10.0
9,305.35,1.93,2.72,15.52
1,389.84,1.61,3.44,5.56
1,215.45,0.82,1.83,1.32
1,836.83,1.83,7.33,16.67
1,388.02,1.2,3.8,20.0
4,424.56,1.54,4.0,15.38
1,222.36,2.11,2.0,2.78
24,151.81,2.05,1.29,5.12
15,225.64,1.46,1.85,7.73
0,360.67,4.1,2.6,0.0
16,249.19,1.15,2.08,7.51
40,254.31,2.7,2.06,10.9
2,256.16,0.91,2.32,9.09
3,269.7,1.44,2.53,8.82
31,167.31,1.49,1.41,6.78
2,96.99,0.91,0.71,1.55
1,661.31,1.0,6.5,50.0
